# Silica Networks Geofeed — RFC 8805
# prefix,CC,region,city,cp

2803:f9d0::/34,CO,CO-ANT,San Vicente Ferrer,
2803:db50::/32,DO,DO-19,villa tapia,
170.254.3.112/29,CO,CO-VAC,Restrepo,
2801:1d:400::/48,CO,CO-CUN,Funza,
138.84.56.0/24,BR,BR-SP,Sao Paulo,
138.84.57.0/24,BR,BR-SP,Sao Paulo,
148.222.222.0/24,AR,AR-C,Buenos Aires,
148.222.223.0/24,AR,AR-C,Buenos Aires,
200.189.30.0/24,AR,AR-C,Buenos Aires,
200.189.31.0/24,AR,AR-C,Buenos Aires,
2803:9810::/38,MX,MX-CMX,Mexico City,
2803:9810:800::/38,CO,CO-DC,Bogota,
2803:9810:c00::/38,BR,BR-CE,Fortaleza,
2803:9810:1000::/38,BR,BR-SP,Sao Paulo,
2803:9810:1400::/38,AR,AR-C,Buenos Aires,
2803:9810:1800::/38,CL,CL-RM,Santiago,
2803:9810:1c00::/38,PE,PE-LIM,Lima,
2803:9810:2000::/38,BR,BR-DF,Brasilia,
2803:b850:1000::/42,CO,CO-CUN,Choachi,
2803:75d0::/32,AR,AR-B,Lomas De Zamora,
2803:a190:500::/40,CO,CO-VAC,jamundi,
181.119.218.0/23,PA,PA-8,,
181.119.220.0/22,PA,PA-8,,
45.190.87.208/29,EC,EC-R,Babahoyo,
2803:650:2600::/40,PE,PE-ICA,Pisco,
2803:650:2700::/40,PE,PE-ICA,Pisco,
2803:650:2800::/40,PE,PE-ICA,Pisco,
2803:650:2900::/40,PE,PE-ICA,Pisco,
2803:650:2b00::/40,PE,PE-ICA,Pisco,
2803:650:2c00::/40,PE,PE-ICA,Pisco,
2803:650:2d00::/40,PE,PE-ICA,Pisco,
2803:7290:300::/40,CO,CO-NAR,Tuquerres,
2803:7290:400::/40,CO,CO-NAR,Tuquerres,
2803:7290:500::/40,CO,CO-NAR,Tuquerres,
2803:7290:700::/40,CO,CO-NAR,Pasto,
2803:7290:800::/40,CO,CO-NAR,Tuquerres,
2803:7290:900::/40,CO,CO-NAR,Tuquerres,
2803:7290:a00::/40,CO,CO-NAR,Pasto,
2803:7290:b00::/40,CO,CO-NAR,Pasto,
2803:7290:c00::/40,CO,CO-NAR,Pasto,
2803:7290:d00::/40,CO,CO-NAR,Pasto,
2803:7290:600::/40,CO,CO-NAR,Pasto,
2803:7290:f00::/40,CO,CO-NAR,Pasto,
2803:7290:1000::/40,CO,CO-NAR,Pasto,
2803:7290:1100::/40,CO,CO-NAR,Pasto,
2803:7290:1200::/40,CO,CO-NAR,Pasto,
2803:7290:e00::/40,CO,CO-NAR,Pasto,
138.117.169.0/24,CO,CO-VAC,Restrepo,
138.117.168.0/24,CO,CO-VAC,Restrepo,
181.224.160.0/22,CO,CO-VAC,BUENAVENTURA,
200.108.70.0/24,AR,AR-C,Buenos Aires,
200.108.83.0/24,PE,PE-LIM,LIMA,
200.108.64.0/20,AR,AR-C,Buenos Aires,
2803:9590::/32,PA,PA-4,David,
45.191.75.0/24,CO,CO-CAU,Miranda,
2803:94e0::/32,CO,CO-CAU,Miranda,
45.191.74.0/24,CO,CO-CAU,Silvia,
131.108.18.0/24,BR,BR-SP,Liberdade,
131.108.19.0/24,JP,JP-13,Tokyo,
45.167.124.0/24,CO,CO-CAU,Popayan,
45.167.125.0/24,CO,CO-CAU,Popayan,
45.191.74.0/23,CO,CO-CAU,Miranda,
190.242.147.0/24,PA,PA-8,,
2803:7290:1300::/40,CO,CO-NAR,Pasto,
2803:7290:1400::/40,CO,CO-NAR,Pasto,
2803:7290:1500::/40,CO,CO-NAR,Tuquerres,
2803:7290:1600::/40,CO,CO-NAR,Tuquerres,
2803:7290:1700::/40,CO,CO-NAR,Pasto,
2803:7290:1800::/40,CO,CO-NAR,Tuquerres,
2803:7290:1900::/40,CO,CO-NAR,Pasto,
2803:7290:1a00::/40,CO,CO-NAR,Tuquerres,
2803:7290:1b00::/40,CO,CO-NAR,Pasto,
2803:7290:1c00::/40,CO,CO-NAR,Pasto,
201.158.99.0/24,AR,AR-H,Mision Nueva Pompeya,
190.57.65.3/32,SV,SV-SS,San Salvador,
138.117.229.0/24,MX,MX-CHP,EL PARAISO,
2001:1204::/32,MX,MX-CHP,FRONTERA COMALAP,
200.41.14.32/29,PE,PE-LIM,Lima,
2803:3c50::/32,GT,GT-QZ,El Palmar,
2803:650:2f00::/40,PE,PE-ICA,Pisco,
2803:650:3000::/40,PE,PE-ICA,Pisco,
2803:650:3100::/40,PE,PE-ICA,Pisco,
2803:650:3200::/40,PE,PE-ICA,Pisco,
2803:650:3300::/40,PE,PE-ICA,Pisco,
2803:650:3400::/40,PE,PE-ICA,Pisco,
2803:650:3500::/40,PE,PE-ICA,Pisco,
2803:650:3600::/40,PE,PE-ICA,Pisco,
2803:650:3700::/40,PE,PE-ICA,Pisco,
2803:650:3800::/40,PE,PE-ICA,Pisco,
2803:650:3900::/40,PE,PE-ICA,Pisco,
2803:650:3a00::/40,PE,PE-ICA,Pisco,
2803:650:3b00::/40,PE,PE-ICA,Pisco,
2803:650:3c00::/40,PE,PE-ICA,Pisco,
2803:650:3d00::/40,PE,PE-ICA,Pisco,
2803:650:3e00::/40,PE,PE-ICA,Pisco,
2803:650:3f00::/40,PE,PE-ICA,Pisco,
2803:650:4000::/40,PE,PE-ICA,Pisco,
2803:650:4100::/40,PE,PE-ICA,Pisco,
2803:650:4200::/40,PE,PE-ICA,Pisco,
2803:650:4300::/40,PE,PE-ICA,Pisco,
2803:650:4400::/40,PE,PE-ICA,Pisco,
2803:650:4500::/40,PE,PE-ICA,Pisco,
2803:650:4600::/40,PE,PE-ICA,Pisco,
2803:650:4700::/40,PE,PE-ICA,Pisco,
2803:650:4800::/40,PE,PE-ICA,Pisco,
2803:650:4900::/40,PE,PE-ICA,Pisco,
2803:650:4a00::/40,PE,PE-ICA,Pisco,
2803:650:4b00::/40,PE,PE-ICA,Pisco,
2803:650:4c00::/40,PE,PE-ICA,Pisco,
2803:650:4d00::/40,PE,PE-ICA,Pisco,
2803:650:4e00::/40,PE,PE-ICA,Pisco,
2803:650:4f00::/40,PE,PE-ICA,Pisco,
2803:650:5000::/40,PE,PE-ICA,Pisco,
2803:650:5100::/40,PE,PE-ICA,Pisco,
2803:650:5200::/40,PE,PE-ICA,Pisco,
2803:650:5300::/40,PE,PE-ICA,Pisco,
2803:650:5400::/40,PE,PE-ICA,Pisco,
2803:650:5500::/40,PE,PE-ICA,Pisco,
2803:650:5600::/40,PE,PE-ICA,Pisco,
2803:650:5700::/40,PE,PE-ICA,Pisco,
2803:650:5800::/40,PE,PE-ICA,Pisco,
2803:650:5900::/40,PE,PE-ICA,Pisco,
2803:650:5a00::/40,PE,PE-ICA,Pisco,
2803:650:5b00::/40,PE,PE-ICA,Pisco,
2803:650:5c00::/40,PE,PE-ICA,Pisco,
2803:650:5d00::/40,PE,PE-ICA,Pisco,
2803:650:5e00::/40,PE,PE-ICA,Pisco,
2803:650:5f00::/40,PE,PE-ICA,Pisco,
2803:650:6000::/40,PE,PE-ICA,Pisco,
2803:650:6100::/40,PE,PE-ICA,Pisco,
2803:650:6200::/40,PE,PE-ICA,Pisco,
2803:650:6300::/40,PE,PE-ICA,Pisco,
2803:650:6400::/40,PE,PE-ICA,Pisco,
2803:650:6500::/40,PE,PE-ICA,Pisco,
2803:650:6600::/40,PE,PE-ICA,Pisco,
2803:650:6700::/40,PE,PE-ICA,Pisco,
2803:650:6800::/40,PE,PE-ICA,Pisco,
2803:650:6900::/40,PE,PE-ICA,Pisco,
2803:650:6a00::/40,PE,PE-ICA,Pisco,
2803:650:6b00::/40,PE,PE-ICA,Pisco,
2803:650:6c00::/40,PE,PE-ICA,Pisco,
2803:650:6d00::/40,PE,PE-ICA,Pisco,
2803:650:6e00::/40,PE,PE-ICA,Pisco,
2803:650:6f00::/40,PE,PE-ICA,Pisco,
2803:650:7000::/40,PE,PE-ICA,Pisco,
2803:650:7100::/40,PE,PE-ICA,Pisco,
2803:650:7700::/40,PE,PE-ICA,Pisco,
2803:650:7800::/40,PE,PE-ICA,Pisco,
2803:650:7900::/40,PE,PE-ICA,Pisco,
2803:650:8400::/40,PE,PE-ICA,Pisco,
2803:650:8500::/40,PE,PE-ICA,Pisco,
2803:650:8600::/40,PE,PE-ICA,Pisco,
2803:650:8700::/40,PE,PE-ICA,Pisco,
2803:650:8800::/40,PE,PE-ICA,Pisco,
2803:650:8900::/40,PE,PE-ICA,Pisco,
148.227.72.0/24,AR,AR-C,Buenos Aires,
148.227.73.0/24,AR,AR-C,Buenos Aires,
148.227.74.0/24,AR,AR-C,Buenos Aires,
148.227.96.0/24,CL,CL-RM,Santiago,
148.227.97.0/24,CL,CL-RM,Santiago,
148.227.98.0/24,CL,CL-RM,Santiago,
148.227.99.0/24,CL,CL-RM,Santiago,
2803:97d0:200::/48,CO,CO-ANT,Anori,
45.160.6.0/24,CL,CL-TA,iquique,
186.65.124.0/22,US,US-NY,new york,
168.205.162.0/23,US,US-NY,new york,
200.108.124.128/29,US,US-SC,Aiken,
2803:d5c0::/34,BZ,BZ-CY,Spanish Lookout,
190.103.31.188/30,VE,VE-G,valencia,
170.254.3.96/28,CO,CO-VAC,Restrepo,
190.103.28.184/30,VE,VE-G,Valencia,
2803:c7d0::/32,HN,HN-CL,Saba,
2803:1a50::/42,CO,CO-VAC,Ginebra,
2803:a190:800::/40,CO,CO-VAC,guacari,
181.119.226.0/23,EC,EC-P,Quito,
181.119.236.0/23,PE,PE-LIM,,
149.19.171.0/24,BO,BO-S,Santa Cruz de la Sierra,
200.81.251.0/24,PY,,,
200.81.250.0/24,PY,,,
200.81.116.180/30,US,US-FL,Daytona Beach,
168.205.199.0/24,AR,AR-B,Ranchos,
177.234.130.0/24,PY,,,
2803:8a30:13::/48,PA,PA-8,Torti,
2803:8a30:15::/48,PA,PA-5,platanilla,
2803:650:7200::/40,PE,PE-ICA,Pisco,
2803:650:7300::/40,PE,PE-ICA,Pisco,
2803:650:7400::/40,PE,PE-ICA,Pisco,
2803:650:7500::/40,PE,PE-ICA,Pisco,
2803:650:7600::/40,PE,PE-ICA,Pisco,
2803:650:7a00::/40,PE,PE-ICA,Pisco,
2803:650:7b00::/40,PE,PE-ICA,Pisco,
2803:650:7c00::/40,PE,PE-ICA,Pisco,
2803:650:7d00::/40,PE,PE-ICA,Pisco,
2803:650:7e00::/40,PE,PE-ICA,Pisco,
2803:650:7f00::/40,PE,PE-ICA,Pisco,
2803:650:8000::/40,PE,PE-ICA,Pisco,
2803:650:8100::/40,PE,PE-ICA,Pisco,
2803:650:8200::/40,PE,PE-ICA,Pisco,
2803:650:8300::/40,PE,PE-ICA,Pisco,
2803:650:8a00::/40,PE,PE-ICA,Pisco,
2803:650:8b00::/40,PE,PE-ICA,Pisco,
2803:650:8c00::/40,PE,PE-ICA,Pisco,
2803:650:8d00::/40,PE,PE-ICA,Pisco,
2803:650:8e00::/40,PE,PE-ICA,Pisco,
2803:650:8f00::/40,PE,PE-ICA,Pisco,
2803:650:9000::/40,PE,PE-ICA,Pisco,
2803:650:9100::/40,PE,PE-ICA,Pisco,
2803:650:9200::/40,PE,PE-ICA,Pisco,
2803:650:9300::/40,PE,PE-ICA,Pisco,
2803:650:9400::/40,PE,PE-ICA,Pisco,
2803:650:9500::/40,PE,PE-ICA,Pisco,
2803:650:9600::/40,PE,PE-ICA,Pisco,
2803:650:9700::/40,PE,PE-ICA,Pisco,
2803:650:9800::/40,PE,PE-ICA,Pisco,
2803:650:9900::/40,PE,PE-ICA,Pisco,
2803:650:9a00::/40,PE,PE-ICA,Pisco,
2803:650:9b00::/40,PE,PE-ICA,Pisco,
2803:650:9c00::/40,PE,PE-ICA,Pisco,
2803:650:9d00::/40,PE,PE-ICA,Pisco,
2803:650:9e00::/40,PE,PE-ICA,Pisco,
2803:650:9f00::/40,PE,PE-ICA,Pisco,
2803:650:a000::/40,PE,PE-ICA,Pisco,
2803:650:a100::/40,PE,PE-ICA,Pisco,
2803:650:a200::/40,PE,PE-ICA,Pisco,
2803:650:a300::/40,PE,PE-ICA,Pisco,
2803:650:a400::/40,PE,PE-ICA,Pisco,
2803:650:a500::/40,PE,PE-ICA,Pisco,
2803:650:a600::/40,PE,PE-ICA,Pisco,
2803:650:a700::/40,PE,PE-ICA,Pisco,
2803:650:a800::/40,PE,PE-ICA,Pisco,
2803:650:a900::/40,PE,PE-ICA,Pisco,
2803:650:aa00::/40,PE,PE-ICA,Pisco,
2803:650:ab00::/40,PE,PE-ICA,Pisco,
2803:650:ac00::/40,PE,PE-ICA,Pisco,
2803:650:ad00::/40,PE,PE-ICA,Pisco,
2803:650:ae00::/40,PE,PE-ICA,Pisco,
2803:650:af00::/40,PE,PE-ICA,Pisco,
2803:650:b000::/40,PE,PE-ICA,Pisco,
2803:650:b100::/40,PE,PE-ICA,Pisco,
2803:650:b200::/40,PE,PE-ICA,Pisco,
2803:650:b300::/40,PE,PE-ICA,Pisco,
2803:650:b400::/40,PE,PE-ICA,Pisco,
2803:650:b500::/40,PE,PE-ICA,Pisco,
2803:650:b600::/40,PE,PE-ICA,Pisco,
2803:650:b700::/40,PE,PE-ICA,Pisco,
2803:650:b800::/40,PE,PE-ICA,Pisco,
2803:650:b900::/40,PE,PE-ICA,Pisco,
2803:650:ba00::/40,PE,PE-ICA,Pisco,
2803:650:bb00::/40,PE,PE-ICA,Pisco,
2803:650:bc00::/40,PE,PE-ICA,Pisco,
2803:650:bd00::/40,PE,PE-ICA,Pisco,
2803:650:c800::/40,PE,PE-ICA,Pisco,
2803:650:c900::/40,PE,PE-ICA,Pisco,
2803:650:cd00::/40,PE,PE-ICA,Pisco,
2803:650:ce00::/40,PE,PE-ICA,Pisco,
2803:650:cf00::/40,PE,PE-ICA,Pisco,
2803:650:d000::/40,PE,PE-ICA,Pisco,
2803:650:d100::/40,PE,PE-ICA,Pisco,
2803:650:d200::/40,PE,PE-ICA,Pisco,
2803:650:d800::/40,PE,PE-ICA,Pisco,
2803:650:d900::/40,PE,PE-ICA,Pisco,
2803:650:da00::/40,PE,PE-ICA,Pisco,
2803:650:db00::/40,PE,PE-ICA,Pisco,
148.227.75.0/24,AR,AR-C,Buenos Aires,
148.227.86.0/24,BR,BR-SP,Sao Paulo,
148.227.87.0/24,BR,BR-SP,Sao Paulo,
148.227.88.0/24,BR,BR-DF,Bras�lia,
148.227.89.0/24,BR,BR-DF,Bras�lia,
148.227.90.0/24,BR,BR-DF,Bras�lia,
148.227.91.0/24,BR,BR-DF,Bras�lia,
148.227.117.0/24,AR,AR-C,Buenos Aires,
148.227.118.0/24,AR,AR-C,Buenos Aires,
148.227.119.0/24,AR,AR-C,Buenos Aires,
148.227.120.0/24,AR,AR-C,Buenos Aires,
148.227.126.0/24,BR,BR-SP,Sao Paulo,
148.227.127.0/24,BR,BR-SP,Sao Paulo,
138.84.32.0/24,CL,CL-RM,Santiago,
138.84.33.0/24,CL,CL-RM,Santiago,
138.84.34.0/24,CL,CL-RM,Santiago,
138.84.41.0/24,CO,CO-DC,Bogota,
2803:97d0:300::/48,CO,CO-ANT,Anori,
2803:97d0:400::/48,CO,CO-ANT,Anori,
2803:97d0:500::/48,CO,CO-ANT,Anori,
45.160.7.0/24,CL,CL-TA,iquique,
186.179.5.0/24,US,US-NY,New York,
2803:d5c0:4000::/34,BZ,BZ-CY,Spanish Lookout,
138.117.40.0/24,CO,CO-ATL,Baranoa,
2803:1a50:40::/42,CO,CO-CAL,Belalcazar,
148.224.17.0/24,PE,PE-LIM,Lima,
2803:a190:900::/40,CO,CO-TOL,chicoral,
181.119.228.0/23,EC,EC-P,Quito,
181.119.230.0/23,SV,SV-SS,,
181.119.234.0/23,NI,NI-MN,,
2803:9430::/32,CO,CO-DC,Bogota,
200.59.32.0/19,AR,AR-B,Buenos Aires,
2803:650:be00::/40,PE,PE-ICA,Pisco,
2803:650:bf00::/40,PE,PE-ICA,Pisco,
2803:650:c000::/40,PE,PE-ICA,Pisco,
2803:650:c100::/40,PE,PE-ICA,Pisco,
2803:650:c200::/40,PE,PE-ICA,Pisco,
2803:650:c300::/40,PE,PE-ICA,Pisco,
2803:650:c400::/40,PE,PE-ICA,Pisco,
2803:650:c500::/40,PE,PE-ICA,Pisco,
2803:650:c600::/40,PE,PE-ICA,Pisco,
2803:650:c700::/40,PE,PE-ICA,Pisco,
2803:650:ca00::/40,PE,PE-ICA,Pisco,
2803:650:cb00::/40,PE,PE-ICA,Pisco,
2803:650:cc00::/40,PE,PE-ICA,Pisco,
2803:650:d700::/40,PE,PE-ICA,Pisco,
148.227.100.0/24,CO,CO-DC,Bogota,
148.227.101.0/24,CO,CO-DC,Bogota,
148.227.106.0/24,EC,EC-P,Quito,
148.227.107.0/24,EC,EC-P,Quito,
148.227.108.0/24,BR,BR-CE,Fortaleza,
148.227.109.0/24,BR,BR-CE,Fortaleza,
148.227.112.0/24,CO,CO-DC,Bogota,
148.227.113.0/24,CO,CO-DC,Bogota,
148.227.114.0/24,CL,CL-RM,Santiago,
148.227.115.0/24,CL,CL-RM,Santiago,
148.227.116.0/24,AR,AR-C,Buenos Aires,
2803:97d0:600::/48,CO,CO-ANT,Anori,
45.160.4.0/22,CL,CL-TA,iquique,
2803:4aa0::/32,CL,CL-TA,iquique,
45.237.169.0/24,US,US-NY,new york,
2803:d5c0:8000::/34,BZ,BZ-CY,Spanish Lookout,
160.238.136.0/22,BZ,BZ-CY,Spanish Lookout,
148.224.16.0/24,PE,PE-LIM,Lima,
181.119.232.0/23,HN,HN-CR,san pedrosula,
45.190.87.200/29,EC,EC-G,Naranjito,
170.83.236.0/22,CN,CN-BJ,Beijing,
190.102.124.0/23,CO,CO-CUN,Mosquera,
190.102.127.0/24,CO,CO-CUN,Mosquera,
2803:5c30::/32,CO,CO-CUN,Mosquera,
2803:ffd0::/32,CO,CO-MET,Villavicencio,
45.224.124.0/22,AR,AR-S,LAS ROSAS,
2803:3a20::/32,AR,AR-S,LAS ROSAS,
186.121.148.0/22,EC,EC-P,SANTO DOMINGO,
2803:f080:2300::/43,PE,PE-ARE,Chivay,
2803:f080:2320::/43,PE,PE-PAS,Oxapampa,
2803:f080:2280::/43,PE,PE-LAL,Cascas,
200.13.215.0/24,IT,IT-72,Eboli,
200.81.117.216/30,US,US-FL,Coconut Creek,
2803:4930::/32,CO,CO-COR,Chinu,
131.196.188.0/22,AR,AR-S,Canada de Gomez,
2803:dbc0::/32,AR,AR-S,Canada de Gomez,
190.103.84.0/22,AR,AR-S,Totoras,
2800:d00::/32,AR,AR-S,Totoras,
170.83.108.0/22,AR,AR-S,Totoras,
45.170.254.0/24,MX,MX-YUC,Merida,
181.224.36.0/22,PE,PE-ARE,Arequipa,
2803:f310::/32,PE,PE-ARE,Arequipa,
2803:650:d300::/40,PE,PE-ICA,Pisco,
2803:650:d400::/40,PE,PE-ICA,Pisco,
2803:650:d500::/40,PE,PE-ICA,Pisco,
2803:650:d600::/40,PE,PE-ICA,Pisco,
2803:650:dc00::/40,PE,PE-ICA,Pisco,
2803:650:dd00::/40,PE,PE-ICA,Pisco,
2803:650:de00::/40,PE,PE-ICA,Pisco,
2803:650:df00::/40,PE,PE-ICA,Pisco,
2803:3390::/32,VE,VE-D,Turmero,
148.227.121.0/24,AR,AR-C,Buenos Aires,
148.227.124.0/24,BR,BR-DF,Brasilia,
170.78.252.0/22,CL,CL-RM,Padre Hurtado,
2803:c950::/32,CL,CL-RM,Padre Hurtado,
190.93.36.0/24,GY,GY-DE,,
190.93.37.0/24,US,US-FL,,
190.93.38.0/24,US,US-FL,,
190.93.39.0/24,GY,GY-DE,,
186.123.135.0/24,PY,PY-ASU,Asuncion,
2803:c000:1b:8000::/50,VE,VE-B,Puerto la Cruz,
2803:c000::/48,VE,VE-G,Valencia,
2803:c000:1::/48,VE,VE-G,Valencia,
2803:c000:1:8000::/49,VE,VE-G,Valencia,
2803:c000:2::/50,VE,VE-D,Maracay,
2803:c000:2:4000::/50,VE,VE-D,Maracay,
2803:c000:2:8000::/50,VE,VE-D,Maracay,
2803:c000:2:c000::/50,VE,VE-D,Maracay,
2803:c000:2:6000::/51,VE,VE-D,Santa Rita,
2803:c000:3::/48,VE,VE-G,Valencia,
2803:c000:4::/48,VE,VE-G,Valencia,
2803:c000:5::/49,VE,VE-G,Valencia,
2803:c000:5:8000::/49,VE,VE-G,Valencia,
2803:c000:6::/48,VE,VE-G,Valencia,
2803:c000:7::/48,VE,VE-B,Lecherias,
2803:c000:7:c000::/50,VE,VE-B,Barcelona,
2803:c000:8::/49,VE,VE-A,Caracas,
2803:c000:8:4000::/50,VE,VE-A,Caracas,
2803:c000:8:8000::/49,VE,VE-G,Puerto Cabello,
2803:c000:9::/48,VE,VE-G,Valencia,
2803:c000:a::/48,VE,VE-K,Barquisimeto,
148.227.125.0/24,BR,BR-DF,Brasilia,
2803:c000:b::/49,VE,VE-G,Valencia,
2803:c000:b:8000::/49,VE,VE-X,La Guaira,
2803:c000:c::/49,VE,VE-G,Valencia,
2803:c000:c:8000::/49,VE,VE-O,Margarita,
170.51.76.0/22,PY,PY-ASU,Asuncion,
2803:c000:d::/49,VE,VE-G,Guigue,
186.123.0.0/21,PY,PY-ASU,Asuncion,
2803:c000:d:8000::/49,VE,VE-G,Tocuyito,
2803:c000:e::/49,VE,VE-H,San Carlos,
2803:c000:e:8000::/49,VE,VE-X,La Guaira,
2803:c000:f::/49,VE,VE-K,Barquisimeto,
2803:c000:f:8000::/49,VE,VE-G,Valencia,
2803:c000:10::/48,VE,VE-G,Valencia,
186.182.24.0/24,PY,PY-ASU,Asuncion,
186.182.28.0/24,PY,PY-ASU,Asuncion,
186.182.0.0/24,PY,PY-ASU,Asuncion,
186.182.244.0/24,PY,PY-ASU,Asuncion,
186.182.245.0/24,PY,PY-ASU,Asuncion,
138.84.35.0/24,CL,CL-RM,Santiago,
2803:97d0:700::/48,CO,CO-ANT,Anori,
190.242.190.0/24,CO,,,
190.242.191.0/24,CW,,,
2803:8050::/32,VE,VE-T,Valera,
2803:a50::/32,CO,CO-PUT,Orito,
2803:f080:2e40::/43,DO,DO-01,Santo Domingo,
2803:f080:8160::/43,PE,PE-AMA,Bagua Chica,
200.49.243.0/24,PE,PE-AMA,Chachapoyas,
190.242.102.16/29,DO,,,
2803:b950::/32,VE,VE-G,Guigue,
45.190.87.0/28,EC,EC-R,Babahoyo,
45.176.164.240/29,CL,CL-ML,Cauquenes,
45.176.165.240/29,CL,CL-ML,Cauquenes,
45.176.164.80/29,CL,CL-BI,San Fabian,
179.49.231.0/24,CO,CO-DC,Bogota,
179.49.230.0/24,CO,CO-DC,Bogota,
2806:3eb::/39,MX,MX-CMX,CDMX,
2806:3eb:200::/39,MX,MX-CMX,CDMX,
2803:c000:10:8000::/49,VE,VE-D,Caracas,
2803:c000:11::/50,VE,VE-D,Maracay,
2803:c000:11:4000::/50,VE,VE-U,Nirgua,
2803:c000:11:8000::/49,VE,VE-J,San Juan de los Morros,
2803:c000:12::/50,VE,VE-H,Tinaquillo,
2803:c000:12:4000::/50,VE,VE-D,Caracas,
2803:c000:12:8000::/50,VE,VE-X,La Guaira,
2803:c000:12:c000::/50,VE,VE-G,Valencia,
2803:c000:13::/48,VE,VE-G,Puerto Cabello,
2803:c000:14::/50,VE,VE-G,Bejuma,
2803:c000:14:4000::/50,VE,VE-N,Maturin,
2803:c000:14:8000::/50,VE,VE-N,Maturin,
2803:c000:14:c000::/50,VE,VE-J,Zaraza,
2803:c000:15::/50,VE,VE-G,Valencia,
2803:c000:15:4000::/50,VE,VE-D,Aragua,
2803:c000:15:8000::/50,VE,VE-D,Aragua,
2803:c000:15:c000::/50,VE,VE-R,Cumana,
2803:6950::/32,VE,VE-I,Pueblo Nuevo,
2803:c000:16::/50,VE,VE-A,Caracas,
2803:c000:16:4000::/50,VE,VE-J,Valle la Pascua,
2803:c000:16:8000::/50,VE,VE-U,Yaritagua,
2803:c000:16:c000::/50,VE,VE-G,Valencia,
2803:c000:17:8000::/50,VE,VE-M,Guarenas,
2803:c000:18::/48,VE,VE-D,Caracas,
2803:c000:19::/48,VE,VE-G,Valencia,
2803:c000:1a::/48,VE,VE-G,Valencia,
2803:c000:15:4000::/50,VE,VE-K,Barquisimeto,
148.222.112.0/24,PE,PE-LIM,Lima,
2803:c000:17:4000::/50,VE,VE-B,Clarines,
2803:c000:1b:4000::/50,VE,VE-J,El Sombrero,
138.84.48.0/24,CO,CO-DC,Bogota,
2803:9150::/32,DO,DO-11,Higuey,
201.220.29.0/24,CR,CR-SJ,San Jose,
2801:1e:8000::/48,CR,CR-SJ,San Jose,
45.163.140.0/22,AR,AR-B,Pilar,
2803:bea0::/32,AR,AR-B,Pilar,
2803:c550::/32,PY,PY-11,Ypacarai,
2803:7c50::/32,VE,VE-N,Punta de Mata,
138.84.52.0/24,CO,CO-DC,Bogota,
138.84.53.0/24,CO,CO-DC,Bogota,
160.238.139.0/24,BZ,BZ-TOL,Independence,
190.89.29.240/30,VE,VE-B,Anaco,
168.90.72.0/24,AR,AR-L,General Pico,
179.60.228.0/24,AR,AR-L,General Pico,
179.60.229.0/24,AR,AR-L,General Pico,
179.60.230.0/24,AR,AR-L,General Pico,
167.250.192.0/22,CR,CR-SJ,San Jose,
2803:540::/32,CR,CR-SJ,San Jose,
2803:310::/36,CO,CO-ANT,Envigado,
2803:310:1000::/36,CO,CO-ANT,Itagui,
2803:310:2000::/36,CO,CO-ANT,Jerico,
2803:310:3000::/36,CO,CO-ANT,Belen,
2803:310:4000::/36,CO,CO-CUN,Caparrapi,
2803:310:5000::/36,CO,CO-ANT,Envigado,
2803:310:6000::/36,CO,CO-ANT,Envigado,
2803:310:7000::/36,CO,CO-ANT,Envigado,
2803:6ee0::/32,AR,AR-B,General Belgrano,
201.49.132.0/22,AR,AR-B,General Belgrano,
190.98.147.48/29,PE,PE-LIM,Lima,
2803:4d90::/32,CO,CO-SAN,Bucaramanga,
181.224.64.0/22,CL,CL-RM,Santiago,
2803:a510::/32,CL,CL-RM,Santiago,
179.0.132.0/22,AR,AR-M,Ciudad de Mendoza,
179.0.136.0/21,AR,AR-M,Ciudad de Mendoza,
200.9.147.0/24,AR,AR-M,Ciudad de Mendoza,
200.12.133.0/24,AR,AR-M,Ciudad de Mendoza,
200.12.134.0/23,AR,AR-M,Ciudad de Mendoza,
200.12.136.0/23,AR,AR-M,Ciudad de Mendoza,
200.12.138.0/24,AR,AR-M,Ciudad de Mendoza,
2801:1e0::/41,AR,AR-M,Ciudad de Mendoza,
2803:b850:0:200::/55,CO,CO-CUN,Choachi,
179.51.140.0/24,EC,EC-G,Milagro,
179.51.141.0/24,EC,EC-G,Milagro,
179.51.142.0/24,EC,EC-G,Milagro,
179.51.143.0/24,EC,EC-G,Milagro,
190.61.32.0/24,MX,MX-ROO,Cancun,
2803:d650::/32,VE,VE-G,Valencia,
200.23.160.0/22,MX,MX-BCS,La Paz,
2801:c4:3c::/48,MX,MX-BCS,La Paz,
2803:4950::/32,AR,AR-N,Campo Grande,
45.127.192.0/22,CO,,,
200.107.204.0/24,AR,AR-N,campo grande,
2801:1f5::/48,DO,DO-25,Santiago,
2803:3550::/40,EC,EC-H,Chambo,
2803:3550:100::/40,EC,EC-H,Chambo,
2803:3550:200::/40,EC,EC-H,Chambo,
2803:3550:300::/40,EC,EC-H,Chambo,
2803:3550:500::/40,EC,EC-H,Chambo,
2803:3550:600::/40,EC,EC-H,Chambo,
2803:3550:700::/40,EC,EC-H,Chambo,
2803:3550:800::/40,EC,EC-H,Chambo,
2803:3550:900::/40,EC,EC-H,Chambo,
168.90.73.0/24,AR,AR-L,Realico,
168.90.75.0/24,AR,AR-L,Conhello,
