# Silica Networks Geofeed — RFC 8805
# prefix,CC,region,city,cp

2803:9c80::/32,AR,AR-M,Malarg�e,
45.168.212.0/22,AR,AR-E,Segui,
45.236.31.0/24,VE,VE-A,Caracas,
45.236.30.0/24,VE,VE-D,Turmero,
45.236.29.0/24,VE,VE-G,Valencia,
45.236.28.0/24,VE,VE-D,Turmero,
138.121.88.0/22,AR,AR-B,Villa Gesell,
168.228.144.0/22,AR,AR-B,Villa Gesell,
170.79.252.0/22,AR,AR-B,Villa Gesell,
2803:c640::/32,AR,AR-B,Villa Gesell,
191.97.24.0/22,AR,AR-C,Buenos Aires,
190.61.39.0/24,EC,EC-P,Pichincha,
168.194.216.24/29,AR,AR-B,Tortuguitas,
168.194.216.32/27,AR,AR-B,Ing. Maschwitz,
181.119.188.0/23,CR,CR-SJ,San Jose,
181.119.190.0/23,HN,HN-CR,san pedrosula,
168.194.216.16/30,AR,AR-B,PABLO PODESTA - GoodPark,
190.14.48.0/20,CL,CL-RM,Santiago,
200.6.96.0/20,CL,CL-RM,Santiago,
191.102.20.0/22,AR,AR-B,La Reja,
191.102.28.0/22,AR,AR-B,La Reja,
200.6.112.0/20,CL,CL-RM,Santiago,
2803:aa00::/32,CL,CL-RM,Santiago,
186.148.89.0/24,DO,DO-01,Santo Domingo,
186.148.95.0/24,DO,DO-01,Santo Domingo,
168.194.216.8/29,AR,AR-B,PABLO PODESTA,
168.194.216.20/30,AR,AR-B,Tortuguitas,
168.228.234.0/24,DO,DO-11,Bavaro,
168.228.233.0/24,DO,DO-25,Santiago,
138.99.239.0/24,DO,DO-12,La Romana,
138.99.238.0/24,DO,DO-18,Puerto Plata,
138.99.237.0/24,DO,DO-25,Santiago,
138.99.236.0/24,DO,DO-11,Punta Cana,
179.51.74.0/24,DO,DO-11,Punta Cana,
168.194.216.128/25,AR,AR-B,PABLO PODESTA,
186.148.92.0/24,DO,DO-25,Santiago,
190.61.56.0/24,CL,CL-RM,Santiago,
200.123.197.128/25,AR,AR-B,Buenos Aires,
200.123.192.0/20,AR,AR-B,Buenos Aires,
200.123.199.128/25,AR,AR-B,Buenos Aires,
2803:b460::/32,VE,VE-A,Caracas,
200.123.202.0/23,TT,TT-POS,Port of Spain,
190.90.14.0/24,CO,CO-ANT,MEDELLIN,
190.90.0.0/21,CO,CO-ANT,MEDELLIN,
190.90.20.0/24,CO,CO-CUN,BOGOTA,
190.90.17.0/24,CO,CO-BOL,CARTAGENA,
190.90.19.0/24,CO,CO-VAC,CALI,
200.123.197.32/28,CL,CL-RM,Santiago,
200.123.195.0/24,GT,GT-GU,Ciudad de Guatemala,
200.123.197.48/28,AR,AR-B,Buenos Aires,
190.14.16.0/23,PA,PA-8,Panama,
200.123.197.16/32,BR,BR-SP,Sao Paulo,
128.201.160.0/25,EC,EC-A,Sigsig,
138.59.164.0/22,PY,PY-14,Nueva Esperanza,
2803:af80::/32,PY,PY-14,Nueva Esperanza,
138.0.90.0/24,CO,CO-CAU,Popayan,
138.0.91.0/24,CO,CO-NAR,Pasto,
138.0.88.0/24,CO,CO-CAU,Popayan,
2803:1780::/32,CO,CO-CAU,Popayan,
138.0.89.0/24,CO,CO-NAR,Pasto,
45.161.112.0/22,CL,CL-CO,illapel,
2803:66a0::/32,CL,CL-CO,Illapel,
170.78.112.0/26,CL,CL-VS,El Quisco,
170.78.112.64/26,CL,CL-VS,Algarrobo,
170.78.112.128/26,CL,CL-VS,Algarrobo,
170.78.112.192/26,CL,CL-VS,Algarrobo,
200.123.196.64/26,CL,CL-RM,Santiago,
170.78.113.0/24,CL,CL-VS,El Quisco,
170.78.114.0/24,CL,CL-VS,El Quisco,
170.78.115.0/24,CL,CL-VS,El Quisco,
170.80.228.0/22,AR,AR-B,Punta Alta,
2803:2c0::/32,AR,AR-B,Punta Alta,
